timestep	evaders	pursuers	evader_capture_status
100	[[6, 22], [9, 9], [37, 29], [5, 29], [18, 15], [34, 38], [18, 29], [10, 19], [7, 38], [26, 28], [26, 37], [32, 21], [12, 13], [22, 38], [11, 37], [32, 5], [28, 6], [22, 8], [24, 34], [7, 15], [4, 17], [31, 31], [16, 9], [33, 14], [20, 24], [4, 11], [14, 30], [24, 15], [14, 24], [29, 19]]	[[35, 38], [35, 27], [38, 29], [11, 38], [7, 37], [25, 34], [26, 38], [22, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
101	[[6, 21], [8, 9], [36, 29], [4, 29], [17, 15], [33, 38], [18, 28], [10, 20], [6, 38], [26, 29], [27, 37], [33, 21], [12, 14], [21, 38], [12, 37], [33, 5], [27, 6], [22, 9], [24, 33], [7, 14], [5, 17], [31, 32], [15, 9], [33, 13], [21, 24], [5, 11], [13, 30], [23, 15], [13, 24], [28, 19]]	[[34, 38], [36, 27], [37, 29], [11, 37], [7, 38], [24, 34], [26, 37], [22, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
102	[[7, 21], [8, 8], [35, 29], [5, 29], [18, 15], [32, 38], [17, 28], [10, 19], [5, 38], [26, 28], [28, 37], [32, 21], [12, 13], [20, 38], [13, 37], [34, 5], [26, 6], [21, 9], [25, 33], [7, 13], [5, 18], [31, 31], [16, 9], [32, 13], [20, 24], [4, 11], [13, 31], [24, 15], [12, 24], [27, 19]]	[[33, 38], [35, 27], [36, 29], [12, 37], [6, 38], [24, 33], [27, 37], [21, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
103	[[7, 22], [8, 7], [34, 29], [4, 29], [18, 16], [32, 37], [16, 28], [11, 19], [4, 38], [26, 27], [28, 38], [31, 21], [12, 12], [19, 38], [14, 37], [33, 5], [26, 5], [21, 8], [25, 34], [7, 12], [5, 17], [31, 32], [16, 8], [31, 13], [21, 24], [5, 11], [13, 30], [23, 15], [13, 24], [27, 20]]	[[32, 38], [34, 27], [35, 29], [13, 37], [5, 38], [25, 33], [28, 37], [20, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
104	[[6, 22], [9, 7], [33, 29], [5, 29], [17, 16], [33, 37], [17, 28], [12, 19], [4, 37], [25, 27], [27, 38], [31, 22], [13, 12], [19, 37], [14, 38], [33, 4], [27, 5], [21, 7], [25, 35], [7, 13], [4, 17], [30, 32], [15, 8], [30, 13], [21, 25], [4, 11], [13, 29], [23, 14], [12, 24], [27, 21]]	[[32, 37], [34, 28], [34, 29], [14, 37], [4, 38], [25, 34], [28, 38], [19, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
105	[[7, 22], [9, 8], [32, 29], [5, 30], [18, 16], [34, 37], [17, 27], [12, 18], [5, 37], [25, 28], [26, 38], [32, 22], [13, 13], [20, 37], [13, 38], [33, 5], [26, 5], [20, 7], [24, 35], [8, 13], [5, 17], [30, 31], [16, 8], [30, 14], [21, 26], [5, 11], [14, 29], [23, 15], [13, 24], [27, 22]]	[[33, 37], [33, 28], [33, 29], [14, 38], [4, 37], [25, 35], [27, 38], [19, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
106	[[7, 23], [8, 8], [31, 29], [5, 29], [17, 16], [35, 37], [17, 26], [12, 17], [6, 37], [25, 29], [25, 38], [32, 21], [13, 12], [20, 38], [12, 38], [33, 6], [26, 6], [21, 7], [24, 34], [9, 13], [4, 17], [29, 31], [16, 7], [29, 14], [21, 25], [4, 11], [14, 30], [24, 15], [12, 24], [26, 22]]	[[34, 37], [32, 28], [32, 29], [13, 38], [5, 37], [24, 35], [26, 38], [20, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
107	[[7, 24], [7, 8], [30, 29], [4, 29], [18, 16], [35, 38], [17, 25], [11, 17], [6, 38], [25, 28], [25, 37], [32, 20], [13, 11], [19, 38], [11, 38], [32, 6], [26, 5], [21, 6], [24, 33], [8, 13], [5, 17], [29, 32], [16, 8], [29, 13], [21, 24], [5, 11], [14, 31], [23, 15], [13, 24], [25, 22]]	[[35, 37], [31, 28], [31, 29], [12, 38], [6, 37], [24, 34], [25, 38], [20, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
108	[[8, 24], [7, 7], [29, 29], [5, 29], [18, 15], [34, 38], [17, 24], [10, 17], [5, 38], [24, 28], [26, 37], [31, 20], [13, 12], [18, 38], [11, 37], [31, 6], [27, 5], [20, 6], [25, 33], [9, 13], [6, 17], [29, 33], [17, 8], [29, 14], [22, 24], [4, 11], [13, 31], [23, 14], [12, 24], [25, 21]]	[[35, 38], [30, 28], [30, 29], [11, 38], [6, 38], [24, 33], [25, 37], [19, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
109	[[7, 24], [7, 6], [28, 29], [5, 28], [17, 15], [33, 38], [18, 24], [11, 17], [4, 38], [24, 27], [27, 37], [31, 21], [14, 12], [17, 38], [12, 37], [31, 5], [27, 6], [21, 6], [25, 34], [9, 12], [5, 17], [30, 33], [16, 8], [28, 14], [21, 24], [5, 11], [13, 32], [23, 13], [13, 24], [26, 21]]	[[34, 38], [29, 28], [29, 29], [11, 37], [5, 38], [25, 33], [26, 37], [18, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
110	[[8, 24], [6, 6], [27, 29], [4, 28], [18, 15], [33, 37], [17, 24], [11, 16], [4, 37], [23, 27], [28, 37], [31, 20], [13, 12], [17, 37], [13, 37], [32, 5], [27, 5], [22, 6], [24, 34], [8, 12], [6, 17], [31, 33], [17, 8], [28, 15], [21, 23], [4, 11], [14, 32], [22, 13], [12, 24], [25, 21]]	[[33, 38], [28, 28], [28, 29], [12, 37], [4, 38], [25, 34], [27, 37], [17, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
111	[[7, 24], [5, 6], [26, 29], [5, 28], [18, 16], [34, 37], [17, 23], [11, 17], [5, 37], [22, 27], [29, 37], [32, 20], [13, 11], [18, 37], [13, 38], [32, 4], [28, 5], [21, 6], [23, 34], [7, 12], [5, 17], [31, 32], [16, 8], [27, 15], [21, 22], [4, 12], [14, 31], [22, 12], [13, 24], [25, 20]]	[[33, 37], [27, 28], [27, 29], [13, 37], [4, 37], [24, 34], [28, 37], [17, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
112	[[8, 24], [5, 7], [26, 30], [4, 28], [18, 15], [35, 37], [17, 22], [11, 16], [6, 37], [21, 27], [29, 38], [32, 19], [13, 12], [19, 37], [12, 38], [32, 5], [28, 4], [20, 6], [22, 34], [8, 12], [6, 17], [31, 31], [17, 8], [26, 15], [21, 21], [4, 11], [13, 31], [22, 13], [13, 23], [24, 20]]	[[34, 37], [26, 28], [26, 29], [13, 38], [5, 37], [23, 34], [29, 37], [18, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
113	[[7, 24], [6, 7], [25, 30], [5, 28], [18, 16], [35, 38], [17, 21], [11, 17], [7, 37], [20, 27], [28, 38], [31, 19], [14, 12], [19, 38], [11, 38], [33, 5], [28, 5], [20, 5], [21, 34], [9, 12], [5, 17], [32, 31], [16, 8], [25, 15], [21, 20], [5, 11], [13, 32], [22, 12], [13, 22], [25, 20]]	[[35, 37], [26, 27], [26, 30], [12, 38], [6, 37], [22, 34], [29, 38], [19, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
114	[[8, 24], [7, 7], [24, 30], [5, 29], [17, 16], [34, 38], [17, 20], [10, 17], [7, 38], [20, 28], [27, 38], [32, 19], [13, 12], [18, 38], [11, 37], [33, 4], [28, 6], [21, 5], [21, 33], [10, 12], [6, 17], [32, 30], [16, 7], [25, 14], [22, 20], [5, 12], [12, 32], [21, 12], [13, 21], [26, 20]]	[[35, 38], [26, 28], [25, 30], [11, 38], [7, 37], [21, 34], [28, 38], [19, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
115	[[9, 24], [8, 7], [24, 31], [5, 28], [17, 15], [33, 38], [18, 20], [10, 16], [6, 38], [19, 28], [26, 38], [31, 19], [14, 12], [17, 38], [12, 37], [33, 5], [28, 7], [20, 5], [22, 33], [10, 11], [6, 18], [31, 30], [15, 7], [25, 15], [21, 20], [5, 13], [12, 31], [20, 12], [13, 20], [27, 20]]	[[34, 38], [26, 29], [24, 30], [11, 37], [7, 38], [21, 33], [27, 38], [18, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
116	[[9, 25], [7, 7], [25, 31], [5, 29], [16, 15], [32, 38], [18, 21], [10, 15], [5, 38], [19, 27], [26, 37], [31, 18], [14, 11], [16, 38], [12, 38], [34, 5], [28, 8], [20, 6], [22, 34], [10, 12], [6, 19], [32, 30], [14, 7], [25, 14], [21, 19], [5, 12], [11, 31], [21, 12], [12, 20], [27, 19]]	[[33, 38], [26, 28], [24, 31], [12, 37], [6, 38], [22, 33], [26, 38], [17, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
117	[[8, 25], [7, 6], [26, 31], [5, 28], [17, 15], [31, 38], [17, 21], [9, 15], [4, 38], [19, 26], [27, 37], [31, 17], [14, 10], [16, 37], [11, 38], [34, 6], [27, 8], [20, 7], [22, 35], [10, 11], [7, 19], [31, 30], [14, 6], [24, 14], [22, 19], [5, 13], [10, 31], [20, 12], [13, 20], [27, 18]]	[[32, 38], [25, 28], [25, 31], [12, 38], [5, 38], [22, 34], [26, 37], [16, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118	[[9, 25], [6, 6], [26, 32], [5, 29], [18, 15], [31, 37], [16, 21], [10, 15], [4, 37], [19, 25], [27, 38], [31, 16], [15, 10], [17, 37], [10, 38], [34, 5], [26, 8], [20, 7], [22, 36], [11, 11], [7, 20], [32, 30], [14, 5], [24, 15], [21, 19], [4, 13], [10, 30], [21, 12], [13, 21], [27, 17]]	[[31, 38], [26, 28], [26, 31], [11, 38], [4, 38], [22, 35], [27, 37], [16, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
119	[[9, 24], [5, 6], [25, 32], [4, 29], [18, 16], [32, 37], [16, 20], [10, 16], [5, 37], [18, 25], [26, 38], [32, 16], [16, 10], [17, 38], [9, 38], [34, 6], [26, 9], [20, 6], [22, 37], [11, 10], [6, 20], [31, 30], [13, 5], [24, 14], [21, 20], [5, 13], [11, 30], [22, 12], [12, 21], [28, 17]]	[[31, 37], [26, 27], [26, 32], [10, 38], [4, 37], [22, 36], [27, 38], [17, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
120	[[8, 24], [6, 6], [25, 31], [5, 29], [17, 16], [33, 37], [15, 20], [9, 16], [5, 38], [18, 24], [25, 38], [32, 15], [17, 10], [16, 38], [9, 37], [33, 6], [27, 9], [20, 7], [23, 37], [10, 10], [5, 20], [32, 30], [12, 5], [24, 15], [22, 20], [4, 13], [10, 30], [21, 12], [12, 20], [28, 16]]	[[32, 37], [27, 27], [25, 32], [9, 38], [5, 37], [22, 37], [26, 38], [17, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
121	[[9, 24], [6, 5], [26, 31], [4, 29], [18, 16], [34, 37], [15, 21], [9, 15], [4, 38], [18, 25], [25, 37], [33, 15], [16, 10], [15, 38], [10, 37], [32, 6], [27, 8], [21, 7], [23, 38], [10, 11], [4, 20], [32, 31], [11, 5], [25, 15], [21, 20], [5, 13], [11, 30], [21, 11], [12, 21], [29, 16]]	[[33, 37], [28, 27], [25, 31], [9, 37], [5, 38], [23, 37], [25, 38], [16, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
122	[[8, 24], [7, 5], [26, 32], [5, 29], [19, 16], [35, 37], [15, 20], [9, 16], [3, 38], [18, 26], [26, 37], [34, 15], [15, 10], [14, 38], [11, 37], [31, 6], [26, 8], [21, 6], [22, 38], [9, 11], [5, 20], [32, 30], [12, 5], [25, 16], [22, 20], [4, 13], [10, 30], [22, 11], [11, 21], [28, 16]]	[[34, 37], [28, 28], [26, 31], [10, 37], [4, 38], [23, 38], [25, 37], [15, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
123	[[8, 25], [6, 5], [26, 33], [6, 29], [18, 16], [35, 38], [16, 20], [8, 16], [3, 37], [17, 26], [27, 37], [33, 15], [16, 10], [14, 37], [11, 38], [30, 6], [27, 8], [20, 6], [21, 38], [8, 11], [5, 21], [32, 31], [13, 5], [25, 17], [23, 20], [5, 13], [11, 30], [23, 11], [11, 20], [29, 16]]	[[35, 37], [28, 29], [26, 32], [11, 37], [3, 38], [22, 38], [26, 37], [14, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
124	[[9, 25], [5, 5], [25, 33], [6, 30], [19, 16], [34, 38], [15, 20], [9, 16], [4, 37], [16, 26], [28, 37], [34, 15], [16, 11], [15, 37], [10, 38], [31, 6], [27, 9], [19, 6], [20, 38], [8, 10], [5, 20], [32, 32], [12, 5], [25, 16], [22, 20], [4, 13], [12, 30], [24, 11], [11, 21], [29, 15]]	[[35, 38], [28, 30], [26, 33], [11, 38], [3, 37], [21, 38], [27, 37], [14, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
125	[[9, 26], [4, 5], [24, 33], [7, 30], [19, 15], [33, 38], [16, 20], [8, 16], [5, 37], [16, 25], [29, 37], [34, 14], [17, 11], [16, 37], [9, 38], [31, 7], [28, 9], [19, 7], [20, 37], [9, 10], [5, 21], [32, 31], [11, 5], [26, 16], [22, 21], [5, 13], [12, 31], [23, 11], [11, 20], [30, 15]]	[[34, 38], [27, 30], [25, 33], [10, 38], [4, 37], [20, 38], [28, 37], [15, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
126	[[9, 25], [5, 5], [23, 33], [7, 31], [20, 15], [33, 37], [16, 19], [9, 16], [5, 38], [15, 25], [29, 38], [35, 14], [16, 11], [16, 38], [9, 37], [32, 7], [28, 8], [18, 7], [21, 37], [8, 10], [5, 22], [33, 31], [11, 4], [26, 15], [23, 21], [4, 13], [13, 31], [23, 10], [10, 20], [30, 14]]	[[33, 38], [28, 30], [24, 33], [9, 38], [5, 37], [20, 37], [29, 37], [16, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
127	[[9, 24], [4, 5], [23, 32], [6, 31], [19, 15], [34, 37], [16, 20], [8, 16], [4, 38], [15, 24], [28, 38], [34, 14], [15, 11], [15, 38], [10, 37], [32, 6], [28, 7], [19, 7], [22, 37], [9, 10], [5, 23], [34, 31], [11, 5], [27, 15], [22, 21], [5, 13], [12, 31], [24, 10], [9, 20], [30, 15]]	[[33, 37], [29, 30], [23, 33], [9, 37], [5, 38], [21, 37], [29, 38], [16, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
128	[[9, 25], [5, 5], [24, 32], [6, 32], [20, 15], [35, 37], [17, 20], [9, 16], [4, 37], [16, 24], [27, 38], [34, 13], [14, 11], [15, 37], [10, 38], [33, 6], [29, 7], [19, 8], [23, 37], [8, 10], [5, 24], [35, 31], [11, 4], [27, 16], [21, 21], [5, 12], [13, 31], [25, 10], [10, 20], [30, 14]]	[[34, 37], [30, 30], [23, 32], [10, 37], [4, 38], [22, 37], [28, 38], [15, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
129	[[9, 26], [5, 6], [25, 32], [6, 31], [21, 15], [35, 38], [16, 20], [10, 16], [5, 37], [16, 25], [27, 37], [34, 12], [15, 11], [16, 37], [9, 38], [34, 6], [29, 6], [19, 9], [23, 38], [9, 10], [5, 25], [34, 31], [11, 5], [27, 17], [22, 21], [4, 12], [12, 31], [25, 11], [10, 19], [30, 13]]	[[35, 37], [31, 30], [24, 32], [10, 38], [4, 37], [23, 37], [27, 38], [15, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
130	[[10, 26], [4, 6], [26, 32], [6, 30], [21, 16], [34, 38], [15, 20], [11, 16], [5, 38], [16, 24], [28, 37], [34, 11], [14, 11], [17, 37], [9, 37], [34, 5], [28, 6], [19, 8], [22, 38], [9, 11], [5, 26], [35, 31], [10, 5], [27, 18], [22, 22], [5, 12], [13, 31], [26, 11], [10, 20], [30, 12]]	[[35, 38], [32, 30], [25, 32], [9, 38], [5, 37], [23, 38], [27, 37], [16, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
131	[[10, 25], [5, 6], [26, 33], [7, 30], [21, 17], [33, 38], [14, 20], [12, 16], [4, 38], [17, 24], [29, 37], [34, 10], [15, 11], [18, 37], [10, 37], [34, 6], [28, 5], [19, 7], [21, 38], [9, 10], [4, 26], [34, 31], [10, 6], [27, 19], [23, 22], [4, 12], [13, 32], [25, 11], [10, 21], [31, 12]]	[[34, 38], [33, 30], [26, 32], [9, 37], [5, 38], [22, 38], [28, 37], [17, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
132	[[11, 25], [5, 7], [25, 33], [8, 30], [20, 17], [33, 37], [14, 19], [11, 16], [3, 38], [16, 24], [29, 38], [35, 10], [16, 11], [18, 38], [11, 37], [34, 5], [28, 6], [18, 7], [21, 37], [9, 11], [5, 26], [35, 31], [11, 6], [27, 20], [23, 21], [5, 12], [13, 31], [24, 11], [10, 20], [30, 12]]	[[33, 38], [33, 31], [26, 33], [10, 37], [4, 38], [21, 38], [29, 37], [18, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
133	[[12, 25], [5, 8], [25, 32], [7, 30], [19, 17], [34, 37], [14, 18], [11, 15], [3, 37], [16, 23], [28, 38], [34, 10], [16, 12], [17, 38], [12, 37], [33, 5], [28, 5], [19, 7], [22, 37], [8, 11], [4, 26], [35, 32], [10, 6], [27, 19], [23, 20], [5, 11], [14, 31], [25, 11], [10, 21], [29, 12]]	[[33, 37], [34, 31], [25, 33], [11, 37], [3, 38], [21, 37], [29, 38], [18, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
134	[[12, 26], [5, 7], [26, 32], [8, 30], [20, 17], [35, 37], [13, 18], [10, 15], [4, 37], [15, 23], [27, 38], [35, 10], [16, 11], [16, 38], [13, 37], [33, 4], [28, 6], [20, 7], [23, 37], [8, 10], [5, 26], [35, 33], [9, 6], [28, 19], [23, 19], [5, 12], [13, 31], [25, 12], [9, 21], [30, 12]]	[[34, 37], [35, 31], [25, 32], [12, 37], [3, 37], [22, 37], [28, 38], [17, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
135	[[12, 25], [5, 6], [27, 32], [8, 31], [19, 17], [35, 38], [14, 18], [9, 15], [5, 37], [16, 23], [27, 37], [34, 10], [15, 11], [16, 37], [13, 38], [33, 5], [29, 6], [19, 7], [23, 38], [9, 10], [6, 26], [34, 33], [9, 5], [28, 18], [24, 19], [5, 13], [14, 31], [25, 13], [9, 20], [30, 11]]	[[35, 37], [35, 32], [26, 32], [13, 37], [4, 37], [23, 37], [27, 38], [16, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
136	[[12, 26], [5, 5], [27, 33], [8, 30], [20, 17], [34, 38], [13, 18], [9, 16], [6, 37], [16, 22], [28, 37], [34, 9], [14, 11], [17, 37], [12, 38], [33, 4], [29, 5], [18, 7], [22, 38], [9, 11], [5, 26], [33, 33], [9, 4], [29, 18], [23, 19], [4, 13], [13, 31], [25, 12], [9, 19], [31, 11]]	[[35, 38], [34, 32], [27, 32], [13, 38], [5, 37], [23, 38], [27, 37], [16, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
137	[[11, 26], [5, 4], [27, 34], [8, 31], [19, 17], [33, 38], [13, 17], [10, 16], [7, 37], [17, 22], [29, 37], [35, 9], [14, 10], [18, 37], [11, 38], [33, 5], [29, 4], [17, 7], [21, 38], [9, 12], [4, 26], [32, 33], [9, 5], [29, 19], [24, 19], [5, 13], [14, 31], [24, 12], [8, 19], [30, 11]]	[[34, 38], [33, 32], [27, 33], [12, 38], [6, 37], [22, 38], [28, 37], [17, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
138	[[12, 26], [5, 5], [26, 34], [9, 31], [18, 17], [33, 37], [14, 17], [10, 15], [7, 38], [17, 23], [29, 38], [34, 9], [13, 10], [18, 38], [11, 37], [33, 4], [29, 5], [18, 7], [21, 37], [10, 12], [5, 26], [31, 33], [9, 6], [29, 18], [24, 20], [5, 14], [15, 31], [24, 13], [7, 19], [30, 12]]	[[33, 38], [33, 33], [27, 34], [11, 38], [7, 37], [21, 38], [29, 37], [18, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
139	[[13, 26], [5, 6], [25, 34], [9, 30], [19, 17], [34, 37], [14, 16], [11, 15], [6, 38], [16, 23], [28, 38], [34, 10], [14, 10], [17, 38], [12, 37], [33, 5], [29, 4], [18, 8], [22, 37], [10, 13], [4, 26], [31, 32], [9, 7], [29, 17], [24, 21], [4, 14], [16, 31], [23, 13], [7, 18], [29, 12]]	[[33, 37], [32, 33], [26, 34], [11, 37], [7, 38], [21, 37], [29, 38], [18, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
140	[[13, 27], [5, 7], [24, 34], [8, 30], [20, 17], [35, 37], [15, 16], [11, 16], [5, 38], [17, 23], [27, 38], [35, 10], [15, 10], [16, 38], [12, 38], [33, 4], [29, 5], [18, 7], [23, 37], [10, 12], [5, 26], [31, 31], [9, 8], [29, 16], [23, 21], [5, 14], [16, 32], [23, 12], [6, 18], [28, 12]]	[[34, 37], [32, 32], [25, 34], [12, 37], [6, 38], [22, 37], [28, 38], [17, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
141	[[13, 26], [5, 8], [24, 33], [8, 31], [21, 17], [35, 38], [15, 15], [12, 16], [4, 38], [17, 24], [27, 37], [34, 10], [15, 11], [16, 37], [11, 38], [33, 5], [29, 4], [19, 7], [23, 38], [11, 12], [4, 26], [30, 31], [9, 9], [30, 16], [23, 22], [4, 14], [17, 32], [23, 11], [7, 18], [27, 12]]	[[35, 37], [32, 31], [24, 34], [12, 38], [5, 38], [23, 37], [27, 38], [16, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
