timestep	evaders	pursuers	evader_capture_status
10	[[8, 16], [19, 5], [6, 12], [5, 31], [17, 23], [28, 18], [9, 24], [10, 20], [10, 5], [8, 30], [34, 25], [20, 35], [36, 15], [35, 33], [6, 16], [32, 7], [35, 21], [29, 5], [27, 35], [13, 19], [2, 5], [22, 30], [36, 7], [19, 30], [17, 27], [5, 4], [6, 22], [21, 26], [5, 27], [16, 32]]	[[23, 24], [0, 14], [8, 11], [0, 25], [11, 5], [35, 14], [34, 18], [29, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[8, 17], [18, 5], [5, 12], [5, 32], [18, 23], [27, 18], [10, 24], [10, 21], [9, 5], [9, 30], [33, 25], [20, 34], [37, 15], [34, 33], [6, 17], [33, 7], [34, 21], [28, 5], [26, 35], [14, 19], [3, 5], [22, 31], [36, 6], [20, 30], [17, 28], [5, 5], [5, 22], [20, 26], [6, 27], [17, 32]]	[[22, 24], [0, 15], [7, 11], [0, 26], [10, 5], [36, 14], [35, 18], [29, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[8, 18], [19, 5], [4, 12], [4, 32], [17, 23], [28, 18], [11, 24], [9, 21], [8, 5], [9, 31], [32, 25], [20, 35], [37, 16], [35, 33], [5, 17], [32, 7], [33, 21], [29, 5], [25, 35], [15, 19], [3, 6], [21, 31], [36, 5], [20, 29], [16, 28], [5, 6], [6, 22], [20, 27], [5, 27], [18, 32]]	[[21, 24], [0, 16], [6, 11], [0, 27], [9, 5], [37, 14], [35, 19], [30, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	[[8, 17], [19, 4], [4, 13], [5, 32], [16, 23], [29, 18], [12, 24], [10, 21], [7, 5], [10, 31], [31, 25], [20, 34], [36, 16], [35, 34], [6, 17], [33, 7], [32, 21], [28, 5], [25, 34], [14, 19], [3, 5], [21, 32], [35, 5], [19, 29], [15, 28], [5, 7], [6, 23], [19, 27], [6, 27], [18, 33]]	[[21, 25], [0, 17], [5, 11], [0, 28], [8, 5], [36, 14], [35, 18], [30, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	[[9, 17], [19, 5], [4, 14], [6, 32], [15, 23], [29, 17], [11, 24], [11, 21], [6, 5], [11, 31], [30, 25], [20, 35], [37, 16], [35, 33], [5, 17], [32, 7], [33, 21], [29, 5], [24, 34], [14, 20], [3, 4], [22, 32], [34, 5], [19, 30], [14, 28], [5, 8], [6, 22], [18, 27], [7, 27], [17, 33]]	[[20, 25], [0, 18], [5, 12], [0, 29], [7, 5], [35, 14], [35, 17], [29, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	[[8, 17], [18, 5], [3, 14], [5, 32], [14, 23], [30, 17], [11, 25], [10, 21], [5, 5], [11, 30], [31, 25], [20, 34], [38, 16], [34, 33], [5, 18], [31, 7], [32, 21], [29, 4], [23, 34], [14, 19], [2, 4], [21, 32], [35, 5], [19, 31], [14, 29], [4, 8], [7, 22], [17, 27], [7, 28], [16, 33]]	[[19, 25], [0, 19], [5, 13], [0, 30], [6, 5], [36, 14], [36, 17], [28, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	[[8, 18], [19, 5], [3, 15], [6, 32], [14, 22], [29, 17], [11, 26], [10, 20], [4, 5], [11, 29], [30, 25], [20, 35], [38, 15], [33, 33], [5, 19], [32, 7], [31, 21], [29, 5], [23, 35], [13, 19], [1, 4], [20, 32], [34, 5], [18, 31], [13, 29], [4, 9], [7, 23], [16, 27], [8, 28], [15, 33]]	[[18, 25], [0, 20], [4, 13], [0, 31], [5, 5], [37, 14], [37, 17], [27, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	[[7, 18], [18, 5], [3, 16], [7, 32], [13, 22], [28, 17], [11, 25], [11, 20], [3, 5], [10, 29], [29, 25], [20, 34], [38, 16], [32, 33], [4, 19], [32, 8], [30, 21], [28, 5], [23, 34], [14, 19], [1, 5], [19, 32], [35, 5], [17, 31], [14, 29], [4, 10], [7, 24], [15, 27], [7, 28], [16, 33]]	[[17, 25], [0, 21], [4, 14], [0, 32], [4, 5], [37, 15], [37, 16], [26, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	[[8, 18], [19, 5], [3, 17], [7, 31], [12, 22], [28, 16], [11, 26], [10, 20], [3, 6], [10, 30], [28, 25], [21, 34], [38, 17], [31, 33], [4, 20], [31, 8], [29, 21], [29, 5], [22, 34], [14, 18], [1, 6], [19, 31], [34, 5], [17, 30], [13, 29], [5, 10], [6, 24], [14, 27], [6, 28], [15, 33]]	[[16, 25], [0, 22], [4, 15], [0, 33], [3, 5], [37, 16], [38, 16], [25, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	[[9, 18], [18, 5], [3, 18], [7, 32], [13, 22], [27, 16], [10, 26], [10, 21], [3, 7], [10, 29], [27, 25], [21, 33], [38, 18], [31, 32], [5, 20], [30, 8], [30, 21], [29, 4], [22, 33], [15, 18], [1, 7], [20, 31], [35, 5], [16, 30], [12, 29], [4, 10], [7, 24], [13, 27], [7, 28], [14, 33]]	[[15, 25], [0, 23], [4, 16], [0, 34], [3, 6], [37, 17], [38, 17], [24, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	[[10, 18], [19, 5], [3, 19], [7, 31], [13, 21], [28, 16], [10, 25], [9, 21], [3, 8], [10, 30], [28, 25], [20, 33], [38, 19], [31, 31], [5, 21], [31, 8], [29, 21], [29, 5], [22, 32], [14, 18], [1, 8], [20, 30], [34, 5], [15, 30], [12, 30], [5, 10], [7, 25], [12, 27], [6, 28], [13, 33]]	[[14, 25], [0, 24], [4, 17], [0, 35], [3, 7], [37, 18], [38, 18], [23, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
