timestep	evaders	pursuers	evader_capture_status
10	[[6, 16], [21, 5], [4, 10], [5, 35], [20, 24], [36, 16], [11, 30], [15, 25], [10, 5], [11, 33], [36, 19], [22, 35], [34, 13], [32, 33], [6, 22], [33, 6], [36, 8], [27, 5], [30, 34], [14, 20], [8, 3], [29, 29], [36, 5], [26, 31], [20, 30], [6, 7], [10, 26], [24, 27], [6, 30], [18, 34]]	[[26, 27], [0, 14], [6, 9], [0, 25], [11, 5], [36, 9], [34, 18], [36, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[6, 17], [20, 5], [4, 11], [5, 34], [21, 24], [36, 15], [11, 29], [15, 26], [9, 5], [11, 34], [36, 18], [22, 34], [35, 13], [32, 32], [6, 23], [32, 6], [36, 7], [28, 5], [29, 34], [15, 20], [9, 3], [30, 29], [36, 4], [27, 31], [21, 30], [7, 7], [9, 26], [23, 27], [7, 30], [17, 34]]	[[27, 27], [0, 15], [5, 9], [0, 26], [10, 5], [36, 8], [35, 18], [36, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[5, 17], [21, 5], [4, 12], [5, 35], [22, 24], [36, 14], [11, 30], [16, 26], [8, 5], [10, 34], [36, 17], [22, 35], [34, 13], [32, 33], [5, 23], [32, 5], [36, 6], [29, 5], [28, 34], [15, 21], [10, 3], [31, 29], [35, 4], [26, 31], [20, 30], [7, 8], [10, 26], [23, 28], [7, 31], [17, 35]]	[[28, 27], [0, 16], [5, 10], [0, 27], [9, 5], [36, 7], [36, 18], [36, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	[[5, 16], [21, 4], [4, 13], [5, 34], [21, 24], [36, 13], [12, 30], [15, 26], [7, 5], [11, 34], [36, 16], [22, 34], [34, 12], [32, 34], [6, 23], [31, 5], [36, 5], [28, 5], [28, 35], [16, 21], [11, 3], [31, 30], [34, 4], [25, 31], [20, 31], [8, 8], [10, 27], [22, 28], [6, 31], [17, 34]]	[[29, 27], [0, 17], [5, 11], [0, 28], [8, 5], [36, 6], [36, 17], [36, 18]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	[[6, 16], [21, 5], [4, 14], [5, 35], [21, 25], [36, 12], [12, 31], [15, 27], [6, 5], [11, 35], [36, 15], [22, 35], [34, 11], [32, 33], [6, 24], [30, 5], [36, 4], [27, 5], [28, 34], [16, 22], [12, 3], [31, 31], [34, 5], [25, 32], [21, 31], [9, 8], [10, 28], [22, 27], [7, 31], [16, 34]]	[[29, 28], [0, 18], [5, 12], [0, 29], [7, 5], [36, 5], [36, 16], [36, 17]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	[[6, 17], [21, 6], [4, 15], [5, 34], [20, 25], [36, 11], [13, 31], [15, 28], [5, 5], [11, 34], [36, 14], [22, 34], [34, 10], [32, 34], [5, 24], [29, 5], [36, 3], [27, 4], [27, 34], [17, 22], [12, 4], [30, 31], [33, 5], [26, 32], [20, 31], [10, 8], [10, 29], [22, 28], [7, 32], [15, 34]]	[[29, 29], [0, 19], [5, 13], [0, 30], [6, 5], [36, 4], [36, 15], [36, 16]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	[[7, 17], [22, 6], [4, 16], [5, 35], [19, 25], [36, 10], [14, 31], [16, 28], [4, 5], [10, 34], [36, 13], [23, 34], [34, 9], [31, 34], [5, 25], [29, 6], [36, 2], [27, 5], [27, 35], [16, 22], [12, 5], [31, 31], [33, 6], [25, 32], [20, 32], [11, 8], [10, 30], [22, 29], [8, 32], [16, 34]]	[[29, 30], [0, 20], [5, 14], [0, 31], [5, 5], [36, 3], [36, 14], [36, 15]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	[[8, 17], [21, 6], [4, 17], [5, 34], [19, 26], [36, 9], [15, 31], [16, 29], [4, 6], [11, 34], [36, 12], [23, 35], [35, 9], [32, 34], [4, 25], [29, 7], [35, 2], [28, 5], [27, 34], [16, 21], [13, 5], [32, 31], [34, 6], [24, 32], [19, 32], [11, 9], [11, 30], [22, 28], [9, 32], [16, 35]]	[[30, 30], [0, 21], [5, 15], [0, 32], [4, 5], [36, 2], [36, 13], [36, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	[[9, 17], [22, 6], [4, 18], [5, 33], [20, 26], [36, 8], [14, 31], [17, 29], [4, 7], [11, 35], [36, 11], [23, 34], [34, 9], [32, 35], [5, 25], [29, 8], [35, 3], [27, 5], [26, 34], [16, 20], [14, 5], [33, 31], [34, 7], [25, 32], [20, 32], [12, 9], [12, 30], [23, 28], [9, 33], [16, 34]]	[[31, 30], [0, 22], [5, 16], [0, 33], [4, 6], [35, 2], [36, 12], [36, 13]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	[[10, 17], [21, 6], [4, 19], [4, 33], [21, 26], [36, 7], [15, 31], [17, 30], [5, 7], [11, 34], [36, 10], [23, 33], [34, 10], [32, 34], [5, 26], [28, 8], [35, 4], [28, 5], [25, 34], [16, 21], [15, 5], [34, 31], [34, 6], [24, 32], [21, 32], [12, 10], [11, 30], [24, 28], [9, 34], [16, 35]]	[[32, 30], [0, 23], [5, 17], [0, 34], [4, 7], [35, 3], [36, 11], [36, 12]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	[[11, 17], [21, 5], [4, 20], [5, 33], [21, 25], [36, 6], [16, 31], [18, 30], [6, 7], [12, 34], [36, 9], [22, 33], [33, 10], [32, 35], [5, 27], [29, 8], [35, 5], [29, 5], [25, 35], [15, 21], [14, 5], [35, 31], [35, 6], [25, 32], [20, 32], [12, 11], [11, 29], [25, 28], [8, 34], [16, 34]]	[[33, 30], [0, 24], [5, 18], [0, 35], [5, 7], [35, 4], [36, 10], [36, 11]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	[[11, 18], [21, 6], [4, 21], [5, 32], [22, 25], [37, 6], [16, 30], [19, 30], [7, 7], [12, 35], [36, 8], [22, 34], [32, 10], [32, 34], [5, 28], [30, 8], [34, 5], [29, 4], [25, 34], [15, 22], [14, 4], [35, 30], [34, 6], [26, 32], [21, 32], [12, 12], [11, 30], [24, 28], [8, 35], [17, 34]]	[[34, 30], [0, 25], [5, 19], [0, 36], [6, 7], [35, 5], [36, 9], [36, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	[[10, 18], [21, 5], [4, 22], [6, 32], [22, 26], [36, 6], [16, 31], [19, 31], [8, 7], [12, 34], [36, 7], [21, 34], [32, 11], [32, 35], [5, 29], [29, 8], [33, 5], [29, 5], [25, 35], [14, 22], [14, 5], [35, 29], [33, 6], [27, 32], [21, 33], [12, 11], [11, 31], [23, 28], [8, 34], [18, 34]]	[[35, 30], [0, 26], [5, 20], [0, 37], [7, 7], [34, 5], [36, 8], [36, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	[[10, 17], [21, 6], [4, 23], [6, 33], [22, 27], [36, 5], [17, 31], [19, 30], [9, 7], [13, 34], [36, 6], [21, 35], [31, 11], [32, 34], [4, 29], [28, 8], [32, 5], [28, 5], [25, 34], [13, 22], [14, 4], [35, 28], [32, 6], [27, 33], [22, 33], [11, 11], [12, 31], [23, 29], [8, 35], [18, 35]]	[[35, 29], [0, 27], [5, 21], [0, 38], [8, 7], [33, 5], [36, 7], [36, 8]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	[[11, 17], [21, 7], [4, 24], [5, 33], [21, 27], [36, 4], [18, 31], [19, 31], [10, 7], [13, 35], [36, 5], [21, 34], [30, 11], [32, 35], [5, 29], [27, 8], [31, 5], [27, 5], [26, 34], [14, 22], [14, 5], [35, 27], [31, 6], [26, 33], [21, 33], [12, 11], [11, 31], [23, 30], [8, 34], [18, 34]]	[[35, 28], [0, 28], [5, 22], [1, 38], [9, 7], [32, 5], [36, 6], [36, 7]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	[[11, 16], [20, 7], [4, 25], [5, 32], [22, 27], [36, 3], [17, 31], [20, 31], [11, 7], [13, 34], [36, 4], [21, 35], [30, 12], [32, 34], [6, 29], [26, 8], [30, 5], [26, 5], [25, 34], [15, 22], [14, 4], [35, 26], [30, 6], [25, 33], [21, 32], [13, 11], [12, 31], [23, 31], [8, 35], [18, 35]]	[[35, 27], [0, 29], [5, 23], [2, 38], [10, 7], [31, 5], [36, 5], [36, 6]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	[[12, 16], [20, 8], [4, 26], [5, 33], [22, 28], [36, 2], [17, 30], [19, 31], [12, 7], [13, 35], [36, 3], [21, 34], [30, 11], [32, 33], [7, 29], [26, 9], [29, 5], [25, 5], [25, 35], [15, 23], [14, 5], [35, 25], [30, 7], [26, 33], [22, 32], [14, 11], [11, 31], [24, 31], [8, 34], [18, 34]]	[[35, 26], [0, 30], [5, 24], [3, 38], [11, 7], [30, 5], [36, 4], [36, 5]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
