epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
0	-1210.212499999995	426.0	378.0	16.0	0.5333333333333333	500.0	82231.41940856737	0.02815936782592112	2.3048739433288574
1	-88.46249999999968	46.0	18.0	25.0	0.8333333333333334	500.0	496.2903792321871	0.005014531989503275	1.9081387519836426
2	-57.150000000000055	35.0	8.0	25.0	0.8	500.0	263.6455315111186	-0.0008486937491092803	1.904966115951538
3	-65.5999999999994	35.0	6.0	16.0	0.5333333333333333	500.0	185.0589100637195	-0.009687608461366971	2.0071816444396973
4	-88.88749999999933	26.0	34.0	20.0	0.6666666666666666	500.0	377.6514860068879	-0.015246661875006055	1.9476878643035889
5	-46.562499999999886	7.0	24.0	19.0	0.6333333333333333	500.0	159.09507257893114	-0.012754413112503471	1.9420135021209717
6	-61.21249999999964	3.0	34.0	15.0	0.5	500.0	203.298073084937	-0.006481683492190735	2.0117201805114746
7	-63.03749999999959	1.0	40.0	18.0	0.6	500.0	449.2596938898695	-0.009088100341707516	1.9710392951965332
8	-113.56249999999902	0.0	72.0	15.0	0.5	500.0	741.2046876726614	-4.530042702377557e-05	2.094165563583374
9	-66.31249999999972	4.0	34.0	12.0	0.4	500.0	170.86729346140334	-0.008369755141065291	2.0875751972198486
10	-94.71249999999917	5.0	56.0	17.0	0.5666666666666667	500.0	233.10986718762103	-0.020060537303046317	2.0244500637054443
11	-50.0874999999998	0.0	38.0	25.0	0.8333333333333334	500.0	157.58987463097282	-0.013382074050909038	1.8488433361053467
12	-39.650000000000006	0.0	22.0	14.0	0.4666666666666667	500.0	102.19694009100887	-0.016519152139397517	2.086949110031128
13	-90.99999999999939	3.0	58.0	20.0	0.6666666666666666	500.0	444.319911209088	-0.0021576339507534217	1.9886460304260254
14	-24.837500000000272	0.0	8.0	9.0	0.3	500.0	93.04010281592208	-0.026042718971157414	2.2112090587615967
15	-59.062499999999346	0.0	34.0	13.0	0.43333333333333335	500.0	123.66940881894887	-0.006277088493885622	2.1785221099853516
16	-79.21249999999951	2.0	48.0	16.0	0.5	500.0	213.1347130100322	-0.013540303402385209	2.086603879928589
17	-64.38749999999914	0.0	42.0	18.0	0.6	500.0	148.54376130471002	-0.008192197669683281	2.0118510723114014
18	-57.6874999999999	0.0	34.0	14.0	0.4666666666666667	500.0	123.9715759123915	-0.010670771445268968	2.126636266708374
19	-26.55000000000023	0.0	20.0	22.0	0.7333333333333333	500.0	88.83107878006192	-0.019769175008005135	1.9537560939788818
20	-36.91250000000006	0.0	22.0	16.0	0.5333333333333333	500.0	69.93849727306574	-0.01465707815051394	2.046027660369873
21	-35.39999999999991	0.0	18.0	13.0	0.43333333333333335	500.0	176.42154509009572	-0.009612469809766794	2.105048179626465
22	-39.5750000000001	0.0	22.0	14.0	0.4666666666666667	500.0	97.6681026937622	-0.004951124067583198	2.09818434715271
23	-25.725000000000062	3.0	14.0	19.0	0.6333333333333333	500.0	76.48628710173647	-0.017365171703125706	1.9787673950195312
24	-21.32500000000004	0.0	14.0	19.0	0.6333333333333333	500.0	104.65273213086434	-0.009079583263377626	2.034078359603882
25	-53.349999999999746	0.0	32.0	15.0	0.5	500.0	97.53304473490475	-0.0011548421782705703	2.105093002319336
26	-21.537500000000055	0.0	14.0	19.0	0.6333333333333333	500.0	57.90947284954168	-0.016491378065804845	1.9999027252197266
27	-48.26250000000004	0.0	30.0	17.0	0.5666666666666667	500.0	107.17824817004532	-0.003851141409228802	1.9682207107543945
28	-27.900000000000226	0.0	20.0	21.0	0.7	500.0	76.57056857808332	-0.009275784916088534	1.9387297630310059
29	-78.6749999999998	0.0	48.0	14.0	0.4666666666666667	500.0	427.5110017444423	0.00024636958742606295	2.098651170730591
30	-3.999999999999992	0.0	2.0	18.0	0.6	500.0	66.20120479269313	-0.020105259810864518	2.0962133407592773
31	-33.15000000000012	0.0	26.0	24.0	0.8	500.0	196.37312042601445	-0.006512648140092587	1.8691675662994385
32	-20.900000000000126	0.0	12.0	17.0	0.5666666666666667	500.0	64.76578156805786	-0.009078244961836504	2.0654518604278564
33	-52.81250000000003	0.0	34.0	18.0	0.6	500.0	116.97863674302343	-0.0007098719375154588	1.9928703308105469
34	-31.737500000000264	0.0	20.0	18.0	0.6	500.0	70.63662518094792	0.007193429779583816	2.00701904296875
35	-9.825000000000031	0.0	8.0	21.0	0.7	500.0	48.99749760542273	-0.0053985525446717305	1.9561858177185059
36	-8.874999999999972	0.0	8.0	22.0	0.7333333333333333	500.0	60.35527023579813	-0.008863649713512615	1.9760692119598389
37	-31.737500000000235	0.0	20.0	18.0	0.6	500.0	58.599217230703566	-0.010883928058397522	1.9700894355773926
38	-32.150000000000084	0.0	22.0	20.0	0.6666666666666666	500.0	152.22713098001478	-0.002737198124708115	1.9222750663757324
39	-65.26249999999965	0.0	44.0	20.0	0.6666666666666666	500.0	342.41386516300605	-0.0009828022056997164	1.9504058361053467
40	-26.950000000000156	0.0	16.0	17.0	0.5666666666666667	500.0	70.05524826996323	-0.009689169797611221	1.9719364643096924
41	-13.51250000000001	0.0	10.0	20.0	0.7	500.0	40.534363209828655	-0.020281660283934234	1.9174060821533203
42	-36.012500000000095	0.0	22.0	17.0	0.5666666666666667	500.0	87.46314441643437	-0.015683833592121103	1.9883947372436523
43	-65.5875	0.0	40.0	15.0	0.4666666666666667	500.0	191.98869620762574	-0.013741067198585932	2.0921101570129395
44	-10.400000000000091	0.0	10.0	23.0	0.7666666666666667	500.0	57.095949889514095	-0.012194534104487132	1.8327157497406006
45	-56.64999999999944	0.0	34.0	15.0	0.5	500.0	159.96916052389355	-0.012016861140569482	2.0774059295654297
46	-37.83750000000003	0.0	24.0	18.0	0.6	500.0	80.52874012587901	-0.014127191953597802	1.936131238937378
47	-19.375000000000128	0.0	12.0	18.0	0.6	500.0	52.8474236637326	-0.012869513626985012	2.2017364501953125
48	-46.912499999999824	0.0	28.0	15.0	0.5	500.0	127.79670477630802	0.003640534181658367	2.552292585372925
49	-29.000000000000103	0.0	20.0	20.0	0.7	500.0	85.24600018417073	-0.006254921389780378	2.3702847957611084
50	-15.487500000000061	0.0	10.0	19.0	0.6333333333333333	500.0	72.63393394992777	-0.01182074081641963	2.448866367340088
51	-35.687500000000306	0.0	22.0	17.0	0.5666666666666667	500.0	49.23932882119861	-0.006578643688815497	2.040426731109619
52	-5.06249999999995	0.0	4.0	20.0	0.6666666666666666	500.0	47.6875542078949	-0.020473793423431346	2.0030899047851562
