epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
28	-63.73749999999933	0.0	38.0	14.0	0.4666666666666667	500.0	141.75092150844915	-0.0033600576684848704	1.5853462219238281
29	-58.69999999999933	0.0	33.0	12.0	0.4	500.0	85.43059751242767	0.0019062826128267007	1.6620163917541504
30	-28.100000000000136	0.0	16.0	16.0	0.5333333333333333	500.0	75.53309727221165	-0.008573876892156676	1.499830722808838
31	-48.29999999999999	0.0	26.0	12.0	0.4	500.0	83.48131580178296	-0.013126197649883395	1.598010778427124
32	-28.362500000000093	0.0	16.0	16.0	0.5333333333333333	500.0	68.85670617181972	-0.013108396457243047	1.538778305053711
33	-16.92500000000012	0.0	6.0	13.0	0.43333333333333335	500.0	54.206863616490416	-0.009107157436909695	1.624614953994751
34	-83.04999999999933	0.0	50.0	13.0	0.43333333333333335	500.0	185.7165188398629	0.00031982894145532014	1.5866215229034424
35	-39.84999999999999	0.0	22.0	14.0	0.4666666666666667	500.0	87.22846161638535	-0.004326893004451314	1.618109941482544
36	-38.08749999999992	0.0	20.0	13.0	0.43333333333333335	500.0	79.47216765125818	-0.010811082427167306	1.5752580165863037
37	-50.4249999999997	0.0	30.0	15.0	0.5	500.0	108.69227112504625	-0.0036084099740753004	1.5741093158721924
38	-47.33749999999993	0.0	28.0	15.0	0.5	500.0	86.72565399459435	-0.0030204906384587176	1.5781021118164062
39	-24.725000000000236	0.0	14.0	16.0	0.5333333333333333	500.0	62.894082581502545	-0.016070411591352467	1.5693578720092773
40	-17.799999999999965	0.0	10.0	17.0	0.5666666666666667	500.0	76.65365915092104	-0.013816768142663258	1.552182912826538
41	-26.712500000000205	0.0	16.0	17.0	0.5666666666666667	500.0	46.122842780835235	-0.012428001050005641	1.603513240814209
42	-29.90000000000005	0.0	18.0	17.0	0.5666666666666667	500.0	77.2016443409869	-0.01219377060807664	1.5668022632598877
43	-76.07499999999963	0.0	42.0	9.0	0.3	500.0	274.7209879635245	-0.006437371422771946	1.681494951248169
44	-50.349999999999945	0.0	32.0	17.0	0.5666666666666667	500.0	175.12171652871925	-0.004493729395019726	1.5818052291870117
45	-60.16249999999972	0.0	34.0	12.0	0.4	500.0	115.17231009892832	-0.006934885690090631	1.6135869026184082
46	-72.7499999999996	1.0	44.0	15.0	0.5	500.0	145.90972856830336	-0.008061213820676691	1.5494470596313477
47	-53.81249999999957	0.0	34.0	17.0	0.5666666666666667	500.0	124.32090825969202	-0.0014837613816052304	1.5502262115478516
48	-5.162499999999986	0.0	0.0	15.0	0.5	500.0	98.63839484170641	-0.006071327518359112	1.6186230182647705
49	-35.13750000000028	0.0	20.0	15.0	0.5	500.0	100.78876290088027	-0.0011513122836231985	1.6485192775726318
50	-17.7125000000001	0.0	10.0	17.0	0.5666666666666667	500.0	48.12455996840991	-0.0065203883319612434	1.5256218910217285
51	-62.387499999999044	0.0	32.0	8.0	0.26666666666666666	500.0	192.77594977776153	-0.0025437407175673814	1.716224193572998
52	-21.675000000000207	0.0	16.0	21.0	0.7	500.0	42.34657336412014	-0.01032178190211647	1.4420192241668701
53	-14.450000000000186	0.0	8.0	17.0	0.5666666666666667	500.0	39.56976773214283	-0.012295025435324092	1.5695209503173828
54	-18.862500000000015	0.0	14.0	21.0	0.7	500.0	58.57823020821834	-0.008343616799618219	1.4674718379974365
55	-47.02499999999982	0.0	26.0	13.0	0.43333333333333335	500.0	88.04412942675678	-0.010544444327801834	1.6421618461608887
56	-28.20000000000022	1.0	10.0	10.0	0.3333333333333333	500.0	77.95846371995975	-0.01963297737885094	1.6996819972991943
57	-12.38750000000005	0.0	8.0	19.0	0.6333333333333333	500.0	28.198790503721387	-0.023580710639125705	1.534440279006958
58	-93.424999999999	0.0	56.0	12.0	0.4	500.0	332.0632874055882	-0.00909804808281867	1.6673862934112549
59	-16.62500000000022	0.0	12.0	20.0	0.6666666666666666	500.0	98.1879612273901	-0.007254744458397027	1.550487995147705
60	-19.549999999999983	0.0	12.0	18.0	0.6	500.0	60.274011898632516	-0.014013503058382554	1.4674694538116455
61	-52.96249999999954	0.0	30.0	13.0	0.43333333333333335	500.0	77.86704282235537	-0.008849005438491037	1.6097052097320557
62	-52.474999999999945	0.0	28.0	11.0	0.36666666666666664	500.0	165.23876195548073	-0.014463706544459677	1.6305365562438965
63	-36.57499999999991	0.0	20.0	14.0	0.4666666666666667	500.0	54.94723786063574	-0.003539092442487444	1.6166431903839111
64	-38.31250000000008	0.0	22.0	15.0	0.5	500.0	107.40835021434826	-0.0056758545561469255	1.54996657371521
65	-27.06250000000015	0.0	16.0	17.0	0.5666666666666667	500.0	84.46753858606024	-0.00614931614878509	1.5629990100860596
66	-13.737499999999981	0.0	8.0	18.0	0.6	500.0	49.777242782286294	-0.011277934209504601	1.5081052780151367
67	-32.72499999999975	0.0	20.0	17.0	0.5666666666666667	500.0	80.53310676866202	-0.00571135947984107	1.6344754695892334
68	-5.000000000000038	0.0	4.0	20.0	0.6666666666666666	500.0	43.885712657104996	-0.028171921498045167	1.452608346939087
69	-37.57499999999947	0.0	24.0	18.0	0.6	500.0	127.14450791453888	-0.010606547827543566	1.5927393436431885
70	-59.8124999999998	0.0	40.0	19.0	0.6333333333333333	500.0	318.2810421801672	-0.0036124802152286578	1.5251574516296387
71	-10.249999999999966	0.0	4.0	16.0	0.5333333333333333	500.0	31.0116268892304	-0.018021547891677286	1.554572343826294
72	-23.862500000000228	0.0	14.0	17.0	0.5666666666666667	500.0	79.19385028854173	-0.013212633854220486	1.5660669803619385
73	-44.13750000000005	0.0	24.0	13.0	0.43333333333333335	500.0	82.03656323296082	-0.010347603750717653	1.6677312850952148
74	-29.137500000000216	0.0	14.0	13.0	0.43333333333333335	500.0	51.1649192944245	-0.004945712263332972	1.635218620300293
75	-8.300000000000056	0.0	6.0	20.0	0.6666666666666666	500.0	43.34341187586428	-0.018522260782972914	1.496201992034912
76	-45.574999999999434	0.0	26.0	14.0	0.4666666666666667	500.0	124.41208445203101	-0.009340071285259762	1.6360783576965332
77	-20.6625000000001	0.0	12.0	17.0	0.5666666666666667	500.0	65.53005838003457	-0.01934637486677204	1.536388874053955
78	-34.87499999999999	0.0	18.0	13.0	0.43333333333333335	500.0	62.282087920362585	-0.0194832642623523	1.5642881393432617
79	-13.362500000000127	0.0	12.0	23.0	0.7666666666666667	500.0	71.32517995197486	-0.005264170750924578	1.4758095741271973
80	-7.512499999999971	0.0	4.0	18.0	0.6	500.0	21.34845091161182	-0.008944248901575285	1.492553949356079
81	-29.575000000000202	0.0	22.0	22.0	0.7333333333333333	500.0	269.81668738150984	-0.009474785601593119	1.4559197425842285
82	-53.51249999999984	0.0	32.0	15.0	0.5	500.0	186.39136023189846	0.001042737083069511	1.609236478805542
83	-30.975000000000104	0.0	16.0	14.0	0.4666666666666667	500.0	55.634798576666526	-0.012931473617195948	1.5522100925445557
84	-52.22499999999976	0.0	34.0	18.0	0.6	500.0	300.6101143656655	0.004294766908317925	1.510883092880249
85	-36.71249999999996	0.0	26.0	21.0	0.6666666666666666	500.0	116.7872115941834	-0.0019584842077613233	1.4873673915863037
86	-18.687500000000124	0.0	14.0	21.0	0.7	500.0	75.30048345292808	-0.03005268277271925	1.4631214141845703
87	-46.899999999999906	0.0	30.0	18.0	0.6	500.0	218.97647916786298	-0.008721776693765374	1.5228383541107178
88	-5.174999999999971	0.0	0.0	15.0	0.5	500.0	60.301336729181685	-0.005085275551948066	1.5891191959381104
89	-40.612499999999834	0.0	20.0	11.0	0.36666666666666664	500.0	80.68126079603887	-0.005102897078242178	1.6188139915466309
90	-8.137499999999973	0.0	6.0	20.0	0.6666666666666666	500.0	42.1769388547319	-0.018596796396966528	1.435093641281128
91	-49.41249999999941	0.0	31.0	17.0	0.5666666666666667	500.0	241.0203064282916	0.0055237047850993015	1.5447838306427002
92	-20.23750000000006	0.0	8.0	13.0	0.43333333333333335	500.0	40.96346272525808	-0.009866429457121257	1.6039319038391113
93	-15.875000000000009	0.0	14.0	23.0	0.7333333333333333	500.0	50.23576921402829	-0.012299913768095885	1.4096171855926514
94	-16.262500000000028	0.0	14.0	23.0	0.7666666666666667	500.0	58.826421152769996	-0.014295844293727662	1.4554548263549805
95	-1.7624999999999618	0.0	6.0	25.0	0.8333333333333334	500.0	48.182306166538844	-0.01446484794569868	1.3820114135742188
96	-22.40000000000024	0.0	8.0	11.0	0.36666666666666664	500.0	26.859843467189755	-0.014473192739243025	1.6260645389556885
97	-45.67499999999979	1.0	30.0	20.0	0.6666666666666666	500.0	162.70028010094452	-0.02016850049083127	1.4566197395324707
98	-27.087500000000148	0.0	16.0	17.0	0.5666666666666667	500.0	137.34845369746955	0.0009621484838975132	1.5748741626739502
99	-11.112500000000006	0.0	2.0	13.0	0.43333333333333335	500.0	24.025236804569573	-0.011809430401595187	1.582918643951416
100	-7.0999999999999375	0.0	2.0	16.0	0.5333333333333333	500.0	23.98013553269266	-0.011623821293630045	1.5736265182495117
101	-40.1999999999998	0.0	24.0	16.0	0.5333333333333333	500.0	123.46992905062449	-0.0019640571425744964	1.520397424697876
102	-11.399999999999979	0.0	10.0	22.0	0.7333333333333333	500.0	55.98633805291638	-0.02109999925201274	1.44272780418396
103	-26.687500000000245	0.0	14.0	15.0	0.5	500.0	32.22771342032959	-0.01085881812234878	1.587672472000122
104	-9.587499999999958	0.0	8.0	21.0	0.7	500.0	28.260828677542584	-0.015000271679440971	1.4093122482299805
105	-19.112500000000097	0.0	10.0	16.0	0.5333333333333333	500.0	33.806379642905114	-0.011060506456114193	1.5167319774627686
106	-25.31250000000023	0.0	14.0	16.0	0.5333333333333333	500.0	64.40733657837953	-0.0153079115692236	1.5995616912841797
107	-18.625000000000043	0.0	12.0	19.0	0.6333333333333333	500.0	78.53043337721815	-0.007446712880145328	1.5079364776611328
108	-44.27499999999998	0.0	30.0	20.0	0.6666666666666666	500.0	220.9030074466131	-0.005839779867382166	1.4764366149902344
109	-15.362500000000018	0.0	10.0	19.0	0.6333333333333333	500.0	62.16512433215674	-0.017115430983160578	1.4650275707244873
110	-23.90000000000002	0.0	14.0	17.0	0.5666666666666667	500.0	72.9417704937987	-0.0157868842561317	1.552586317062378
111	-6.699999999999966	0.0	0.0	14.0	0.4666666666666667	500.0	29.30098662594712	-0.026483107060590597	1.5727078914642334
112	-34.37500000000004	0.0	20.0	16.0	0.5333333333333333	500.0	56.77802513342732	0.001259037959456748	1.5154249668121338
113	-7.999999999999973	1.0	4.0	19.0	0.6333333333333333	500.0	25.089932091071606	-0.019358099145763245	1.4958879947662354
114	4.5124999999999496	0.0	2.0	25.0	0.8333333333333334	500.0	44.44347490932021	-0.022756948211548705	1.3709392547607422
115	-4.449999999999929	0.0	2.0	18.0	0.6	500.0	25.10208468750006	-0.013240775721965917	1.5305824279785156
116	-30.462500000000336	0.0	22.0	21.0	0.7	500.0	107.27987584585468	-0.013302158436923249	1.5111329555511475
117	-7.949999999999923	0.0	6.0	20.0	0.6666666666666666	500.0	52.796117157822174	-0.018341435669256428	1.464583396911621
118	-15.350000000000028	0.0	10.0	19.0	0.6333333333333333	500.0	45.31364204633367	-0.01627441583620446	1.5151705741882324
119	-8.274999999999942	0.0	6.0	20.0	0.6666666666666666	500.0	45.82042015532854	-0.002015294376254019	1.4387567043304443
120	-38.52500000000013	0.0	24.0	17.0	0.5666666666666667	500.0	101.47958040331552	0.005258319700017038	1.5417582988739014
121	-30.900000000000198	0.0	16.0	14.0	0.4666666666666667	500.0	72.99939998879552	-0.009871053141807987	1.568030834197998
122	-8.874999999999977	0.0	4.0	17.0	0.5666666666666667	500.0	26.149589448029783	-0.029124767297307706	1.5015699863433838
123	-11.41250000000003	0.0	10.0	22.0	0.7333333333333333	500.0	68.99115617112007	-0.021927063506632198	1.357377290725708
124	-16.187500000000032	2.0	6.0	16.0	0.5333333333333333	500.0	40.92280464396024	-0.034478012913782594	1.5597329139709473
125	-4.325000000000089	0.0	6.0	23.0	0.7666666666666667	500.0	48.3105460284085	-0.010410093941584023	1.3671834468841553
126	-15.600000000000048	0.0	10.0	19.0	0.6333333333333333	500.0	45.020475242577426	-0.00074927167285162	1.443366527557373
127	-6.087500000000024	0.0	4.0	19.0	0.6333333333333333	500.0	22.666302316470365	-0.031619940186097206	1.4908127784729004
128	-3.8374999999999795	0.0	4.0	21.0	0.7	500.0	26.81466229832806	-0.025256595068513563	1.4463343620300293
129	-14.687500000000206	0.0	12.0	22.0	0.7333333333333333	500.0	79.8502807029382	-0.026175474846518196	1.386204481124878
130	-24.637500000000248	1.0	16.0	20.0	0.6666666666666666	500.0	87.50095250300333	-0.008107532057585324	1.4749605655670166
131	-3.262500000000163	0.0	6.0	24.0	0.8	500.0	48.57333331733575	-0.015897438140151696	1.3483972549438477
132	-15.825000000000173	0.0	12.0	21.0	0.7	500.0	65.9516881001105	-0.023904446980647528	1.4460225105285645
133	0.749999999999917	0.0	0.0	20.0	0.6666666666666666	500.0	28.969536774371974	-0.03123526872665002	1.473027229309082
134	-13.525000000000132	0.0	8.0	18.0	0.6	500.0	49.23053748549976	-0.0012727045766140251	1.4572932720184326
135	-13.975000000000184	0.0	10.0	20.0	0.6666666666666666	500.0	49.298136985372	-0.004111126431814825	1.414407730102539
136	-10.187499999999995	0.0	4.0	16.0	0.5333333333333333	500.0	30.15709581698296	-0.026770517712804205	1.552107572555542
137	-9.93750000000004	0.0	8.0	21.0	0.7	500.0	32.15775936734823	-0.004321095561742027	1.3847391605377197
138	-20.21250000000018	0.0	14.0	20.0	0.6666666666666666	500.0	73.57597534765117	-0.02009424302976801	1.4611690044403076
139	-42.412499999999994	0.0	22.0	12.0	0.4	500.0	136.68664329731183	-0.000597451949597179	1.5972051620483398
140	1.2749999999999624	0.0	0.0	20.0	0.6666666666666666	500.0	53.63798451977909	-0.03571710984848258	1.4552690982818604
141	-11.962500000000043	0.0	6.0	17.0	0.5666666666666667	500.0	41.77837931147438	-0.033041800254256244	1.5349130630493164
142	-10.112499999999956	0.0	4.0	16.0	0.5333333333333333	500.0	20.67575495755875	-0.0227674925439663	1.599318504333496
143	-36.89999999999999	1.0	24.0	20.0	0.6666666666666666	500.0	82.26067097493149	0.021727247746472785	1.4586687088012695
144	-6.849999999999956	1.0	6.0	22.0	0.7333333333333333	500.0	28.245324679591914	-0.009834979520604626	1.404780626296997
