epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
24	-131.77499999999938	0.0	171.0	8.0	0.0	500.0	280.61427587529647	-0.003441790464065116	2.274228096008301
25	-125.06499999999916	0.0	164.0	3.0	0.0	500.0	211.3753758549696	-0.00487945436776417	2.291271448135376
26	-102.96999999999929	0.0	129.0	1.0	0.0	500.0	187.58915634141724	-0.005966784756321297	2.292407989501953
27	-142.3400000000005	0.0	190.0	7.0	0.0	500.0	406.922207216802	-0.00721536900876923	2.2869691848754883
28	-131.55499999999947	0.0	176.0	2.0	0.0	500.0	359.803679106383	-0.0020006520483950626	2.2850382328033447
29	-114.33499999999947	0.0	146.0	4.0	0.0	500.0	196.65021357113446	-0.007391279613363341	2.279048442840576
30	-126.84999999999944	0.0	161.0	10.0	0.0	500.0	172.79615985193234	-0.0052261886992995416	2.2780048847198486
31	-84.03999999999934	0.0	99.0	0.0	0.0	500.0	169.36872006078715	-0.005350043026822448	2.276984930038452
32	-102.41999999999932	0.0	126.0	4.0	0.0	500.0	181.35460198062106	-0.008070289486208714	2.274383783340454
33	-126.87499999999964	0.0	166.0	5.0	0.0	500.0	272.3789202068329	-0.009612872117616746	2.341560125350952
34	-130.92499999999924	0.0	176.0	1.0	0.0	500.0	344.90403544906485	-0.0071950718979394935	2.2732768058776855
35	-98.94499999999937	0.0	120.0	4.0	0.0	500.0	167.92258186354167	-0.007794045943969072	2.2845070362091064
36	-113.0499999999995	1.0	142.0	5.0	0.0	500.0	288.6535496070005	-0.005713523727903481	2.272221088409424
37	-100.90999999999936	1.0	126.0	0.0	0.0	500.0	176.41153067053418	-0.011891377325122202	2.2591590881347656
38	-101.32999999999956	0.0	124.0	4.0	0.0	500.0	213.19924075953392	-0.008687122899331013	2.262169122695923
39	-82.29999999999963	0.0	94.0	2.0	0.0	500.0	194.75670633245954	-0.009019081187003713	2.2604095935821533
40	-120.08499999999952	0.0	153.0	6.0	0.0	500.0	313.838965221371	-0.007291603832712372	2.263826370239258
41	-105.74499999999948	0.0	134.0	1.0	0.0	500.0	206.007925958197	-0.006317105600669346	2.2537076473236084
42	-107.8699999999995	0.0	134.0	5.0	0.0	500.0	160.45194974237532	-0.0028948954992354956	2.2576982975006104
43	-101.41499999999937	0.0	125.0	3.0	0.0	500.0	172.60103846053292	-0.004991015821171628	2.2557575702667236
44	-97.16999999999945	0.0	118.0	3.0	0.0	500.0	230.5851673241072	-0.004567714450684275	2.2567269802093506
45	-111.55999999999939	0.0	140.0	5.0	0.0	500.0	215.57066934983922	-0.0006945097678949083	2.2560760974884033
46	-94.68999999999937	0.0	110.0	7.0	0.0	500.0	184.0778035358449	-0.0034485035150359183	2.2687389850616455
47	-109.84999999999928	0.0	142.0	0.0	0.0	500.0	281.7993946304615	-0.003571531553124311	2.299252986907959
48	-104.13499999999945	1.0	128.0	4.0	0.0	500.0	350.32682733406335	-0.002729231030489177	2.283578872680664
49	-99.07499999999939	0.0	120.0	4.0	0.0	500.0	175.45339584594709	-0.0027191874167305286	2.2753520011901855
50	-70.84999999999965	0.0	74.0	4.0	0.0	500.0	122.5564073805115	-0.009529006295586846	2.282705068588257
51	-104.48499999999967	0.0	128.0	6.0	0.0	500.0	206.37253065441354	-0.008855409070786177	2.280073404312134
52	-76.7999999999995	0.0	84.0	3.0	0.0	500.0	160.6883054176429	-0.010060429562498035	2.276516914367676
53	-101.81999999999942	0.0	126.0	3.0	0.0	500.0	140.7171124814206	-0.01406842880856718	2.2693588733673096
54	-110.2499999999995	0.0	126.0	17.0	0.0	500.0	226.2240357340099	-0.008977940912725534	2.250575304031372
55	-92.42499999999929	0.0	110.0	3.0	0.0	500.0	216.54685462277965	-0.010092776150720212	2.3664608001708984
56	-81.05999999999966	0.0	84.0	11.0	0.0	500.0	165.63013984919814	-0.009452880889873757	2.272054433822632
57	-72.5699999999996	0.0	76.0	4.0	0.0	500.0	135.16200492400145	-0.00785982055760607	2.2696523666381836
58	-73.1949999999996	0.0	76.0	5.0	0.0	500.0	133.071475201731	-0.01002464313734651	2.268568277359009
59	-72.38499999999985	0.0	76.0	4.0	0.0	500.0	120.4329855584663	-0.011106782400762575	2.2626562118530273
60	-73.07999999999947	0.0	74.0	7.0	0.0	500.0	91.74504124290401	-0.014117889350691096	2.2618637084960938
61	-76.6499999999996	0.0	83.0	4.0	0.0	500.0	105.58761478238041	-0.014670606152455981	2.269319534301758
62	-83.33499999999971	0.0	96.0	2.0	0.0	500.0	113.99117876088783	-0.009213226462441782	2.2680814266204834
63	-81.42499999999953	0.0	92.0	3.0	0.0	500.0	109.18560074808778	-0.01190586931953008	2.270728826522827
64	-73.20999999999962	0.0	79.0	2.0	0.0	500.0	97.1700046331904	-0.010277271685122602	2.4743194580078125
65	-103.32499999999915	0.0	128.0	3.0	0.0	500.0	212.01371080571377	-0.010820250272422272	2.26676607131958
66	-76.81999999999934	0.0	84.0	3.0	0.0	500.0	133.9194717750732	-0.009988293915215952	2.264909505844116
67	-54.36499999999947	0.0	48.0	2.0	0.0	500.0	73.5211352876284	-0.006966758998438502	2.2679624557495117
68	-62.574999999999584	0.0	62.0	1.0	0.0	500.0	80.5561173850124	-0.013258778741046865	2.270111322402954
69	-88.81999999999954	1.0	104.0	2.0	0.0	500.0	174.6393934996809	-0.012926613052411096	2.2693252563476562
70	-59.949999999999605	0.0	54.0	5.0	0.0	500.0	54.61731319598872	-0.011681057814537826	2.2755179405212402
71	-60.0849999999996	0.0	58.0	1.0	0.0	500.0	73.0077891044484	-0.009049769378808184	2.2703795433044434
72	-61.44999999999964	1.0	60.0	0.0	0.0	500.0	72.57861904550246	-0.013344721942612584	2.2674148082733154
73	-90.37999999999964	0.0	104.0	6.0	0.0	500.0	269.4545361286897	-0.010208131454637176	2.540318012237549
74	-58.28499999999951	2.0	54.0	0.0	0.0	500.0	43.84449392102142	-0.016385673291764512	2.271120309829712
75	-61.899999999999416	0.0	62.0	0.0	0.0	500.0	63.26481807399248	-0.015754609500901202	2.2713868618011475
76	-46.13499999999986	0.0	34.0	2.0	0.0	500.0	48.25147650183609	-0.01687313728209766	2.276451826095581
77	-64.63499999999968	0.0	64.0	3.0	0.0	500.0	88.02761669124926	-0.0147735508405723	2.2726144790649414
78	-59.07499999999966	0.0	52.0	6.0	0.0	500.0	47.839751141945854	-0.015212971715454342	2.340543270111084
79	-64.11999999999969	0.0	62.0	4.0	0.0	500.0	95.9245475219648	-0.012754237216059928	2.266500949859619
