epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
38	-40.46419049127294	0.3333333333333333	30.0	5.666666666666667	1.0	76.66666666666667	23.384187180566933	-0.012459408235761022	1.9153087139129639
39	-55.72230600846721	0.6	30.0	14.8	1.0	85.4	95.42717148426728	-0.00899986915531524	1.9020533561706543
40	-45.19080863070407	0.2	30.0	9.6	1.0	89.4	26.952527265171575	-0.003948098691886525	1.8355231285095215
41	-40.94874591260534	0.0	30.0	7.2	1.0	84.8	31.53788830980299	-0.012112757027117164	1.859325885772705
42	-44.75976706128803	0.25	30.0	15.0	1.0	115.0	68.78964246865617	0.0034057844624753642	1.8042323589324951
43	-46.46765025001998	0.6666666666666666	30.0	13.0	1.0	82.5	109.46059835756792	-0.009088766322776045	1.911876916885376
44	-41.78734777886463	0.0	30.0	6.0	1.0	84.4	37.109258972959466	-0.007930158354732781	1.8776888847351074
45	-40.330352041827574	0.2857142857142857	30.0	5.714285714285714	1.0	67.85714285714286	25.434741513665482	-0.005287076885329416	2.0138866901397705
46	-39.737876023397426	0.25	30.0	11.5	1.0	116.5	26.840004984291372	0.017142116889419724	1.7962918281555176
47	-57.772453018078764	0.0	30.0	15.2	1.0	94.0	284.6553596144857	0.030290156505599783	1.8879096508026123
48	-41.666764471256485	0.0	30.0	7.6	1.0	83.4	41.00372388361103	-0.005464365139693011	1.8709068298339844
49	-43.17981286106002	1.1666666666666667	30.0	6.666666666666667	1.0	73.33333333333333	43.85781178750099	-0.05973354203275013	1.9192817211151123
50	-41.81629854075462	0.0	30.0	10.0	1.0	93.6	48.10210183755689	-0.0503051419663855	1.869112491607666
51	-50.60472288035126	0.4	30.0	13.2	1.0	89.4	132.6008666437072	0.019253369407482138	1.8853139877319336
52	-48.26633050001654	0.0	30.0	11.2	1.0	91.2	98.56999200465813	0.0209624890427625	1.8855657577514648
53	-36.80271209116387	0.0	30.0	4.0	1.0	117.75	28.52008104669887	-0.04643103774770837	1.7719995975494385
54	-59.481126993510735	0.0	30.0	19.6	1.0	83.4	140.77893897153464	-0.003135371899723947	1.9376230239868164
55	-41.45699315948026	0.25	30.0	10.5	1.0	97.0	35.679175579809986	-0.035479462279465315	1.8596162796020508
56	-39.7786638138905	0.0	30.0	6.4	1.0	98.8	29.670647372646012	-0.0453759049652227	1.8499534130096436
57	-44.83666348207302	0.16666666666666666	30.0	8.333333333333334	1.0	77.66666666666667	51.83615709350563	-0.03207892748053539	1.9832983016967773
58	-44.17131665765548	0.0	30.0	11.5	1.0	113.25	70.15509851662925	0.023215772993828022	1.7936749458312988
59	-45.98715613673074	0.0	30.0	12.666666666666666	1.0	78.16666666666667	71.69563650813303	0.005485029802241544	1.968794822692871
60	-42.44520694646028	0.0	30.0	9.333333333333334	1.0	73.5	28.01089253154049	0.005390537554737927	1.9803550243377686
61	-40.79095363644579	0.0	30.0	6.0	1.0	91.4	51.68143152026565	0.006439575380615071	1.8763236999511719
62	-45.62303519547141	0.2	30.0	8.8	1.0	88.6	52.982558839566465	0.013252869115478318	1.891813039779663
63	-48.04156014330286	0.3333333333333333	30.0	10.0	1.0	79.33333333333333	69.75822307919091	-0.006286460107200403	1.9746639728546143
64	-45.88273998829805	0.16666666666666666	30.0	10.666666666666666	1.0	79.16666666666667	59.264647630702285	-0.013999311056379821	1.8983592987060547
65	-39.36702026602398	0.16666666666666666	30.0	5.333333333333333	1.0	73.5	24.00935601321656	-0.0421149912573739	1.9586641788482666
66	-41.59433519921951	0.16666666666666666	30.0	5.0	1.0	72.83333333333333	19.93833261561333	-0.020346509812259616	1.9454278945922852
67	-43.27584271146491	0.25	30.0	13.0	1.0	104.0	49.612339795543946	0.012556269947716322	1.8242673873901367
68	-48.92132563041649	0.8	30.0	12.0	1.0	83.2	96.52084697350406	0.013266734881661513	1.8810153007507324
69	-37.65986619337053	0.0	30.0	4.4	1.0	88.0	24.872769146114177	-0.019539950850452237	1.891089677810669
70	-38.339687190397754	0.0	30.0	6.4	1.0	96.8	30.006298799510187	-0.030150629757478495	1.8314988613128662
71	-40.34874010740448	0.0	30.0	6.8	1.0	97.8	26.311903677329813	-0.02626033173860612	1.8011348247528076
72	-43.50212250695058	0.0	30.0	6.333333333333333	1.0	75.83333333333333	46.27174099326583	-0.008077744460548656	1.9198663234710693
73	-38.887295238575554	0.2	30.0	4.8	1.0	90.2	18.303809305137374	-0.0421588908964557	1.8952405452728271
74	-43.365088850331425	0.0	30.0	10.333333333333334	1.0	81.83333333333333	52.88267083531529	-0.006412694579223887	1.9229466915130615
75	-40.13393412574007	0.0	30.0	5.2	1.0	88.4	36.788266939905846	-0.009954133382753121	1.8921310901641846
76	-38.39751730796606	0.0	30.0	5.2	1.0	82.4	27.727425857560217	-0.029905913566069635	1.8932509422302246
77	-39.7576911407571	0.0	30.0	4.0	1.0	88.2	12.996543809596865	-0.035416436749873145	1.8759856224060059
78	-41.47260328252976	0.2	30.0	7.6	1.0	90.4	32.43789561254564	-0.0060184591728809494	1.9662754535675049
79	-38.805592312468235	0.0	30.0	4.0	1.0	119.0	24.481809610623227	0.01986062189210125	1.730494499206543
80	-39.671734207164164	0.5	30.0	5.5	1.0	111.5	23.395138568382258	-0.011168946587007388	1.8501951694488525
81	-39.86225514952671	0.0	30.0	7.2	1.0	89.6	47.708298877656176	0.009829135418010308	1.9532506465911865
82	-39.48981157922623	0.0	30.0	3.0	1.0	106.25	19.41544271738624	-0.0005170597801367928	1.8225533962249756
83	-40.4327079723171	0.3333333333333333	30.0	5.0	1.0	74.66666666666667	22.366594287160208	-0.01375627590197997	1.976538896560669
84	-39.49457179371327	0.16666666666666666	30.0	5.166666666666667	1.0	80.0	29.18867541981858	-0.004109748883621873	1.9322257041931152
85	-40.09496431760352	0.3333333333333333	30.0	5.0	1.0	80.33333333333333	20.708235469595778	-0.027148314965491107	1.9250504970550537
86	-38.20438047295029	0.4	30.0	2.8	1.0	83.2	9.259498098019108	-0.0699375313660838	1.8957884311676025
87	-41.07097391874131	1.0	30.0	6.666666666666667	1.0	126.33333333333333	26.393077629099214	-0.009737814368675768	1.7228472232818604
88	-46.58465492779989	0.0	30.0	14.0	1.0	115.25	156.41847316274976	0.06531693064918172	1.8927984237670898
89	-40.265213409213594	0.16666666666666666	30.0	7.333333333333333	1.0	75.5	55.880395273248176	-0.10069419441502335	1.978759527206421
90	-35.996664096440796	0.2	30.0	0.8	1.0	87.4	6.4498193541436235	-0.18053416773792916	1.853541612625122
91	-39.53723615638296	0.2	30.0	8.4	1.0	93.4	32.082882533971784	-0.026292966005269147	1.9306116104125977
92	-37.485636069815484	0.25	30.0	3.0	1.0	103.25	28.240580602470665	-0.07534887618082937	1.8459105491638184
93	-38.44354940257988	0.0	30.0	3.3333333333333335	1.0	83.33333333333333	30.536914440521	-0.02147404447615772	1.868041753768921
94	-29.06078853321466	0.0	30.0	1.0	1.0	235.0	15.801000330297283	0.05486740226472432	1.6429107189178467
95	-42.07725795851101	0.0	30.0	7.0	1.0	100.25	20.469716232567034	-0.0056701769797274015	1.8144214153289795
96	-42.20896594470467	0.2	30.0	8.0	1.0	85.4	35.97570198993378	-0.06754263225408931	1.924652099609375
97	-35.83317160805785	0.0	30.0	3.0	1.0	108.25	22.38879207194005	-0.04756453375732828	1.8741488456726074
98	-39.874728678418265	0.0	30.0	7.5	1.0	105.25	78.65974358844112	-0.02491501824832332	1.8194522857666016
99	-37.5100446037648	0.25	30.0	2.0	1.0	86.75	11.133144246384997	0.08710130534587572	1.832732915878296
100	-34.711933655841925	0.25	30.0	0.5	1.0	124.75	10.413162979838841	0.09134085491019613	2.020271062850952
101	-34.82752509641466	0.0	30.0	3.3333333333333335	1.0	149.0	16.101264194461113	0.09333973823828613	1.7181930541992188
102	-30.190437509920372	0.0	30.0	2.0	1.0	218.5	10.384579905452346	-0.14534360739425062	1.6310224533081055
103	-35.14203008957845	0.0	30.0	0.0	1.0	105.0	70.17513969684285	-0.0034565390290022336	1.781721830368042
104	-30.06567436507181	2.0	29.0	0.0	0.9666666666666667	500.0	15.495947043134882	-0.09714828154107337	1.4883315563201904
105	-30.506679005491215	0.0	30.0	2.0	1.0	213.0	9.689853160433763	-0.08951252638022074	1.666642665863037
106	-39.11947456952305	0.3333333333333333	30.0	8.666666666666666	1.0	165.66666666666666	119.05573427718389	0.05629624404817263	1.7107889652252197
107	-37.58628684045275	0.0	30.0	4.0	1.0	107.25	20.377540557041723	-0.035029053269529375	1.8781957626342773
108	-33.55107663277647	0.0	30.0	2.0	1.0	163.5	14.33219255000887	-0.18548984294206494	1.637923240661621
